frase,label
Cobrar o valor total de R$ 2338,Cobrança
Cobrar a quantia de R$ 4137 referente ao serviço,Cobrança
Gerar cobrança automática de R$ 4088,Cobrança
Passe a fatura de R$ 1724 no cartão,Cobrança
"Cobrar taxa de R$ 2370,77 pela entrega",Cobrança
"Cobra o valor de R$ 3585,35 em 10x",Cobrança
"Cobrar taxa de R$ 2504,80 pela entrega",Cobrança
"Emitir cobrança no valor de R$ 908,57",Cobrança
Emitir cobrança no valor de R$ 4006,Cobrança
Passe a fatura de R$ 1278 no cartão,Cobrança
"Cobrar taxa de R$ 3734,90 pela entrega",Cobrança
Gerar cobrança automática de R$ 1056,Cobrança
"Lançar cobrança para João no valor de R$ 1543,78",Cobrança
Passe a cobrança de R$ 1337 para o cliente,Cobrança
"Cobrar taxa de R$ 2895,62 pela entrega",Cobrança
Passe a fatura de R$ 3620 no cartão,Cobrança
Cobra R$ 3207 pela manutenção,Cobrança
"Cobrar taxa de R$ 4024,46 pela entrega",Cobrança
Cobrar a quantia de R$ 4455 referente ao serviço,Cobrança
Cobra o pagamento de R$ 835 em 8 parcelas,Cobrança
"Cobra o pagamento de R$ 1951,45 em 7 parcelas",Cobrança
Cobra o pagamento de R$ 3233 em 9 parcelas,Cobrança
"Cobra o pagamento de R$ 4689,13 em 1 parcelas",Cobrança
Cobrar a quantia de R$ 504 referente ao serviço,Cobrança
Cobrar a quantia de R$ 2342 referente ao serviço,Cobrança
"Passe a cobrança de R$ 1668,18 para o cliente",Cobrança
Cobrar R$ 118 à vista amanhã,Cobrança
"Cobra R$ 1541,57 pela manutenção",Cobrança
"Cobrar a quantia de R$ 2455,62 referente ao serviço",Cobrança
"Cobrar o valor total de R$ 2097,56",Cobrança
Gerar cobrança automática de R$ 1264,Cobrança
Emitir cobrança no valor de R$ 3901,Cobrança
Cobrar R$ 4427 à vista amanhã,Cobrança
"Passe a cobrança de R$ 2911,40 para o cliente",Cobrança
"Passe a cobrança de R$ 3542,61 para o cliente",Cobrança
"Cobrar a quantia de R$ 3282,95 referente ao serviço",Cobrança
"Passe a cobrança de R$ 4529,45 para o cliente",Cobrança
"Cobrar o valor total de R$ 495,94",Cobrança
"Passe a cobrança de R$ 735,14 para o cliente",Cobrança
Cobrar R$ 2046 à vista amanhã,Cobrança
Passe a fatura de R$ 1009 no cartão,Cobrança
Cobrar o valor total de R$ 3731,Cobrança
Lançar cobrança para João no valor de R$ 1034,Cobrança
"Emitir cobrança no valor de R$ 2757,30",Cobrança
Lançar cobrança para João no valor de R$ 574,Cobrança
Cobra R$ 1028 pela manutenção,Cobrança
"Cobrar taxa de R$ 627,61 pela entrega",Cobrança
"Cobra o pagamento de R$ 3043,72 em 4 parcelas",Cobrança
Cobrar o valor total de R$ 1691,Cobrança
"Cobrar taxa de R$ 4439,88 pela entrega",Cobrança
Gerar cobrança automática de R$ 3429,Cobrança
Cobrar R$ 2222 à vista amanhã,Cobrança
"Lançar cobrança para João no valor de R$ 3145,77",Cobrança
"Lançar cobrança para João no valor de R$ 4295,35",Cobrança
"Cobrar o valor total de R$ 4514,58",Cobrança
Cobrar R$ 372 à vista amanhã,Cobrança
"Emitir cobrança no valor de R$ 3931,43",Cobrança
"Emitir cobrança no valor de R$ 2151,49",Cobrança
Lançar cobrança para João no valor de R$ 3403,Cobrança
Emitir cobrança no valor de R$ 2163,Cobrança
"Cobra o valor de R$ 4855,40 em 11x",Cobrança
Cobrar R$ 2719 à vista amanhã,Cobrança
"Cobrar o valor total de R$ 2601,98",Cobrança
"Emitir cobrança no valor de R$ 3859,28",Cobrança
Gerar cobrança automática de R$ 215,Cobrança
Passe a cobrança de R$ 3664 para o cliente,Cobrança
"Emitir cobrança no valor de R$ 4740,49",Cobrança
Cobrar a quantia de R$ 2051 referente ao serviço,Cobrança
"Passe a cobrança de R$ 165,76 para o cliente",Cobrança
"Cobra o valor de R$ 833,41 em 5x",Cobrança
"Passe a fatura de R$ 3793,77 no cartão",Cobrança
"Passe a fatura de R$ 2343,69 no cartão",Cobrança
Cobrar R$ 418 à vista amanhã,Cobrança
Gerar cobrança automática de R$ 3899,Cobrança
"Cobra R$ 137,50 pela manutenção",Cobrança
Cobra R$ 4896 pela manutenção,Cobrança
"Cobrar R$ 2521,19 à vista amanhã",Cobrança
Cobra o pagamento de R$ 2469 em 1 parcelas,Cobrança
"Cobrar o valor total de R$ 3898,80",Cobrança
"Cobrar a quantia de R$ 2390,99 referente ao serviço",Cobrança
Cobrar a quantia de R$ 3237 referente ao serviço,Cobrança
"Cobrar R$ 1490,94 à vista amanhã",Cobrança
Emitir cobrança no valor de R$ 1071,Cobrança
"Cobra o pagamento de R$ 3363,76 em 1 parcelas",Cobrança
"Cobrar o valor total de R$ 678,21",Cobrança
"Cobrar taxa de R$ 2399,53 pela entrega",Cobrança
"Cobrar R$ 2800,59 à vista amanhã",Cobrança
Passe a fatura de R$ 3181 no cartão,Cobrança
Passe a fatura de R$ 878 no cartão,Cobrança
"Passe a fatura de R$ 4010,22 no cartão",Cobrança
Cobrar o valor total de R$ 1434,Cobrança
Cobrar o valor total de R$ 405,Cobrança
Passe a fatura de R$ 4073 no cartão,Cobrança
Lançar cobrança para João no valor de R$ 486,Cobrança
"Cobra o valor de R$ 4604,42 em 11x",Cobrança
"Gerar cobrança automática de R$ 2904,39",Cobrança
Cobrar a quantia de R$ 3381 referente ao serviço,Cobrança
"Cobrar a quantia de R$ 4102,20 referente ao serviço",Cobrança
"Cobra o pagamento de R$ 2757,23 em 9 parcelas",Cobrança
"Lançar cobrança para João no valor de R$ 715,42",Cobrança
"Passe a fatura de R$ 2614,74 no cartão",Cobrança
"Emitir cobrança no valor de R$ 452,17",Cobrança
"Cobra o valor de R$ 837,53 em 5x",Cobrança
